MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.83178,0.71002,1.63205,0.55689,1.15166,2.15432,1.22554,azotemic
0.83003,0.70927,1.6318,0.55702,1.15091,2.15294,1.22304,azotemic
0.82953,0.70877,1.63017,0.55627,1.14941,2.14769,1.22241,azotemic
0.8279,0.70777,1.6308,0.55764,1.14979,2.15207,1.22329,azotemic
0.8279,0.70815,1.63167,0.55827,1.14766,2.15269,1.22304,azotemic
0.82665,0.70765,1.6293,0.55752,1.14779,2.15169,1.22354,azotemic-test
0.82615,0.70715,1.62792,0.55827,1.14729,2.15044,1.22216,azotemic
0.82553,0.70465,1.62792,0.55814,1.14641,2.15282,1.22254,azotemic
0.8244,0.7069,1.6268,0.55689,1.14653,2.14957,1.22179,azotemic
0.8239,0.7059,1.62205,0.55714,1.14316,2.13757,1.22066,azotemic
0.82315,0.7054,1.62642,0.55814,1.14503,2.14869,1.21779,azotemic
0.8229,0.7054,1.62555,0.55727,1.14378,2.14969,1.21829,azotemic
0.82165,0.70402,1.62542,0.55689,1.14403,2.14869,1.22029,azotemic
0.8204,0.7049,1.62667,0.55714,1.14241,2.14657,1.21966,azotemic
0.81928,0.70352,1.62292,0.55702,1.14253,2.14857,1.21954,azotemic-test
0.8189,0.7034,1.62242,0.55664,1.14216,2.14782,1.21904,azotemic
0.8189,0.70327,1.6228,0.55664,1.14053,2.14644,1.21991,azotemic
0.81852,0.70065,1.61742,0.55789,1.14178,2.14907,1.21916,azotemic
0.8159,0.70327,1.62442,0.55789,1.14091,2.14644,1.21891,azotemic
0.81752,0.7029,1.62367,0.55664,1.13991,2.14744,1.21879,azotemic
0.81752,0.70227,1.62192,0.55739,1.14028,2.14744,1.21841,azotemic
0.81565,0.70252,1.6208,0.55652,1.13628,2.14719,1.22041,azotemic
0.81677,0.7024,1.62042,0.55827,1.13978,2.14782,1.21904,azotemic
0.81415,0.70265,1.6158,0.55752,1.13803,2.14357,1.21979,azotemic
0.8149,0.70202,1.62067,0.55852,1.13766,2.14294,1.21854,azotemic
0.81502,0.70052,1.62067,0.55677,1.13778,2.14707,1.21904,azotemic
0.8144,0.70115,1.62117,0.55702,1.13753,2.14569,1.21904,healthy-test
0.81327,0.69965,1.61817,0.55714,1.13728,2.14557,1.21929,azotemic
0.8139,0.70115,1.61842,0.55652,1.13566,2.14532,1.21654,azotemic
0.81415,0.70077,1.61742,0.55777,1.13816,2.14044,1.21779,azotemic
0.8124,0.70052,1.61742,0.55639,1.13803,2.14657,1.21729,azotemic
0.81302,0.69877,1.61855,0.55739,1.13653,2.14682,1.21479,azotemic
0.81402,0.69977,1.6183,0.55802,1.13653,2.14682,1.21891,azotemic
0.81302,0.69977,1.61792,0.55839,1.13666,2.14332,1.21904,azotemic
0.81327,0.69977,1.61617,0.55664,1.13641,2.14582,1.21879,azotemic-test
0.8119,0.70052,1.61642,0.55789,1.13678,2.14444,1.21654,azotemic
0.8119,0.69927,1.61667,0.55764,1.13516,2.14344,1.21629,azotemic
0.81077,0.69915,1.61667,0.55727,1.13553,2.14344,1.21679,azotemic
0.81127,0.6994,1.61655,0.55614,1.13528,2.14469,1.21829,azotemic
0.8104,0.69902,1.61455,0.55652,1.13641,2.14369,1.21791,azotemic
0.80777,0.69902,1.61517,0.55814,1.13516,2.14257,1.21804,azotemic-test
0.81015,0.69815,1.61567,0.55752,1.13478,2.14544,1.21766,azotemic
0.8099,0.69902,1.6143,0.55627,1.13541,2.14182,1.21704,azotemic
0.81015,0.69852,1.61305,0.55589,1.13478,2.14307,1.21679,azotemic
0.80902,0.69765,1.6128,0.55689,1.13491,2.14257,1.21679,azotemic
0.80902,0.69815,1.6148,0.55639,1.13291,2.14044,1.21679,azotemic
0.80765,0.69765,1.61055,0.55789,1.13353,2.13544,1.21629,azotemic-test
0.80827,0.69615,1.61267,0.55664,1.13228,2.13482,1.21591,azotemic
0.80752,0.69677,1.6138,0.55789,1.13203,2.13619,1.21279,azotemic
0.80752,0.69677,1.61067,0.55664,1.13191,2.14107,1.21491,azotemic
0.8069,0.69677,1.6113,0.55652,1.13203,2.13507,1.21429,azotemic
0.80677,0.69677,1.61142,0.55627,1.13191,2.13969,1.21591,azotemic
0.8059,0.6954,1.60955,0.55589,1.13178,2.13994,1.21479,azotemic
0.8054,0.69652,1.6103,0.55664,1.13003,2.13782,1.21529,azotemic-test
0.8059,0.6959,1.61055,0.55839,1.13066,2.13944,1.21579,azotemic
0.80502,0.69527,1.60867,0.55789,1.13091,2.13844,1.21466,azotemic
0.8054,0.69377,1.60605,0.55739,1.13078,2.13932,1.21491,azotemic
0.8059,0.69527,1.60955,0.55714,1.13066,2.14132,1.21604,azotemic
0.80465,0.6954,1.60917,0.55602,1.13003,2.13782,1.21466,azotemic-test
0.80515,0.69465,1.60942,0.55827,1.12728,2.13907,1.21541,azotemic
0.80415,0.6944,1.6088,0.55764,1.13028,2.13632,1.21341,azotemic
0.8044,0.69477,1.60717,0.55652,1.13028,2.12656,1.21491,azotemic
0.80352,0.69252,1.60705,0.55602,1.13028,2.13219,1.21566,azotemic
0.80377,0.69502,1.6088,0.55802,1.12841,2.13844,1.21416,azotemic
0.8044,0.69477,1.60805,0.55614,1.12991,2.13769,1.21491,healthy-test
0.80377,0.69477,1.60692,0.55839,1.13028,2.13894,1.21304,azotemic
0.80265,0.69415,1.60617,0.55752,1.12903,2.13819,1.21441,azotemic
0.80302,0.69377,1.60617,0.55652,1.12853,2.13632,1.21429,azotemic
0.8024,0.69327,1.60517,0.55739,1.12891,2.13757,1.21354,azotemic
0.80252,0.69327,1.60517,0.55814,1.13053,2.13732,1.21354,azotemic
0.80315,0.6939,1.60755,0.55639,1.12853,2.13807,1.21391,azotemic
0.8019,0.69352,1.60642,0.55802,1.12928,2.13894,1.21404,azotemic
0.80227,0.69427,1.6048,0.55639,1.12928,2.13682,1.21404,azotemic
0.80265,0.69452,1.60592,0.55752,1.12903,2.13557,1.21541,azotemic
0.80177,0.6934,1.60467,0.55752,1.12953,2.13557,1.21441,azotemic
0.8004,0.6924,1.6043,0.55814,1.12716,2.13657,1.21341,azotemic
0.79915,0.68777,1.60105,0.55652,1.12616,2.13469,1.21216,azotemic
0.80027,0.69202,1.60205,0.55739,1.12641,2.13419,1.21316,azotemic
0.79827,0.69115,1.60105,0.55677,1.12603,2.13507,1.21254,azotemic
0.80027,0.6909,1.60017,0.55802,1.12703,2.13482,1.21279,azotemic
0.80077,0.69265,1.60192,0.55689,1.12716,2.13657,1.21229,azotemic-test
0.80165,0.69215,1.6023,0.55689,1.12441,2.13344,1.21441,azotemic
0.80215,0.69277,1.60155,0.55777,1.12791,2.13819,1.21416,azotemic
0.80065,0.69302,1.60392,0.55752,1.12841,2.13607,1.21366,azotemic
0.80077,0.69302,1.60417,0.55639,1.12728,2.13532,1.21391,azotemic
0.7969,0.6919,1.60105,0.55702,1.12791,2.13694,1.21454,azotemic
0.7999,0.6919,1.60105,0.55739,1.12891,2.13432,1.21341,azotemic
0.79902,0.69177,1.60242,0.55814,1.12666,2.13332,1.21279,azotemic
0.7979,0.69027,1.60242,0.55764,1.12616,2.13007,1.21216,azotemic
0.7959,0.6894,1.6008,0.55777,1.12578,2.13032,1.21266,azotemic
0.79765,0.6899,1.60155,0.55614,1.12603,2.13194,1.21229,azotemic-test
0.79715,0.6904,1.6008,0.55789,1.12516,2.13094,1.21379,azotemic
0.79665,0.68915,1.5993,0.55602,1.12453,2.13169,1.21291,azotemic
0.79602,0.6889,1.60005,0.55814,1.12553,2.13094,1.21104,azotemic
0.79552,0.68952,1.59967,0.55889,1.12178,2.12906,1.21329,azotemic
0.79577,0.6889,1.5998,0.55664,1.12391,2.12906,1.21229,azotemic
0.79552,0.68815,1.59905,0.55739,1.12316,2.12806,1.21254,azotemic
0.79452,0.68802,1.5988,0.55652,1.12491,2.12819,1.21116,azotemic
