MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.83153,0.81727,1.26429,0.55052,0.7099,1.96106,1.00603,healthy
0.82915,0.81827,1.26529,0.55052,0.70977,1.96143,1.00378,healthy
0.82978,0.81665,1.26354,0.55052,0.70977,1.96093,1.00591,healthy
0.8319,0.81652,1.26279,0.55064,0.70927,1.95493,1.00553,healthy
0.82853,0.81602,1.26279,0.55014,0.71002,1.96018,1.00553,healthy
0.83253,0.8189,1.26516,0.55077,0.70952,1.95856,1.00553,healthy
0.83065,0.81777,1.26354,0.55039,0.7114,1.96018,1.00566,healthy
0.8329,0.81877,1.26566,0.55039,0.70952,1.95731,1.00541,healthy
0.83315,0.81865,1.26554,0.55089,0.70977,1.95556,1.00291,healthy
0.83128,0.81602,1.26254,0.55077,0.70952,1.96018,1.00541,healthy
0.83403,0.8189,1.26616,0.55089,0.71165,1.95668,1.00341,healthy
0.8319,0.81727,1.26341,0.55039,0.71102,1.95556,1.00566,healthy
0.8329,0.81665,1.26279,0.55027,0.71002,1.95668,1.00528,healthy
0.83178,0.81865,1.26541,0.55064,0.71177,1.95518,1.00341,healthy
0.83315,0.81615,1.26254,0.55039,0.7109,1.95781,1.00541,healthy
0.83265,0.81827,1.26541,0.55077,0.7104,1.95756,1.00603,healthy
0.83265,0.81615,1.26166,0.55014,0.71165,1.95606,1.00591,healthy
0.8354,0.8179,1.26454,0.55114,0.71177,1.95493,1.00291,healthy
0.83328,0.81777,1.26441,0.55077,0.7119,1.95581,1.00353,healthy
0.8354,0.8149,1.26154,0.55002,0.71015,1.95293,1.00541,healthy
0.8339,0.81727,1.26416,0.55052,0.71177,1.95506,1.00328,healthy
0.8349,0.81652,1.26279,0.55052,0.71177,1.96056,1.00541,healthy
0.8354,0.81777,1.26466,0.55089,0.71127,1.95681,1.00328,healthy
0.83653,0.81627,1.26491,0.55102,0.71065,1.95843,1.00403,healthy
0.83728,0.81702,1.26479,0.55027,0.7099,1.95506,1.00241,healthy
0.83478,0.81552,1.26179,0.55064,0.71015,1.95906,0.99853,healthy
0.8374,0.81527,1.26141,0.55002,0.71027,1.95918,1.00503,healthy
0.83565,0.81502,1.26091,0.55077,0.71027,1.95856,1.00503,healthy
0.83715,0.81665,1.26404,0.55052,0.71102,1.95393,1.00178,healthy
0.83628,0.81477,1.25404,0.55002,0.7119,1.95843,1.00466,healthy
0.8374,0.81665,1.26429,0.55064,0.71127,1.95468,1.00266,healthy
0.83878,0.81665,1.26054,0.55014,0.71052,1.95456,1.00291,healthy
0.83778,0.81765,1.26504,0.55027,0.71315,1.95981,1.00503,healthy
0.83853,0.81702,1.26466,0.55052,0.7124,1.95506,1.00353,healthy
0.8379,0.81465,1.26179,0.55039,0.7119,1.95931,1.00541,healthy
0.83965,0.81627,1.26204,0.55027,0.71265,1.95656,1.00316,healthy
0.83878,0.81452,1.26141,0.55027,0.7124,1.95981,1.00491,healthy
0.84065,0.81652,1.26341,0.55052,0.71302,1.95493,1.00353,healthy
0.84028,0.81415,1.26054,0.55014,0.70815,1.95931,1.00603,healthy
0.8399,0.8164,1.26479,0.55052,0.71327,1.95768,1.00328,healthy
0.84215,0.81452,1.26204,0.55039,0.71215,1.95781,1.00553,healthy
0.84228,0.81602,1.26479,0.55077,0.71215,1.95781,1.00341,healthy
0.8409,0.81577,1.26229,0.55014,0.71302,1.95981,1.00478,healthy
0.84215,0.81502,1.26579,0.55027,0.7134,1.95968,1.00616,healthy
0.8419,0.81477,1.26254,0.55077,0.71477,1.96056,0.99353,healthy
0.84378,0.8164,1.26491,0.55027,0.71452,1.95543,1.00341,healthy
0.84203,0.8144,1.26229,0.55064,0.71452,1.95981,1.00453,healthy
0.84253,0.81427,1.26254,0.55064,0.71477,1.95943,1.00616,healthy
0.84453,0.81565,1.26516,0.55039,0.71302,1.95418,1.00403,healthy
0.84403,0.8159,1.26541,0.55039,0.71465,1.95243,1.00466,healthy
0.84553,0.8134,1.26504,0.55039,0.71327,1.95506,1.00453,healthy
0.84403,0.81452,1.26291,0.55039,0.71502,1.95506,1.00303,healthy
0.8459,0.81365,1.26254,0.55052,0.7134,1.95493,1.00491,healthy
0.84428,0.81452,1.26254,0.55027,0.71502,1.95506,1.00303,healthy
0.84103,0.8149,1.26366,0.55014,0.71402,1.96043,1.00691,healthy
0.84503,0.81627,1.26604,0.55089,0.71577,1.95931,1.00428,healthy
0.84678,0.81615,1.26629,0.55102,0.71502,1.95593,1.00378,healthy
0.84453,0.8154,1.26554,0.55077,0.71552,1.95981,1.00541,healthy
0.84615,0.81415,1.26341,0.55064,0.71377,1.96068,1.00666,healthy
0.8479,0.81452,1.26491,0.55014,0.71402,1.95643,1.00403,healthy
0.84678,0.8154,1.26554,0.55064,0.71527,1.95756,1.00341,healthy
0.84815,0.8154,1.26566,0.55064,0.7134,1.95581,1.00628,healthy
0.84653,0.81377,1.26341,0.55039,0.71502,1.95993,1.00641,healthy
0.8479,0.8149,1.26554,0.55052,0.71365,1.95456,1.00278,healthy
0.84665,0.81465,1.26516,0.55014,0.7149,1.95443,1.00491,healthy
0.8479,0.8139,1.26341,0.55064,0.71565,1.95993,1.00616,healthy
0.84703,0.8149,1.26541,0.55089,0.71415,1.95918,1.00316,healthy
0.8489,0.81165,1.26416,0.55039,0.71215,1.95743,1.00516,healthy
0.84703,0.8139,1.26391,0.55089,0.7139,1.95806,1.00466,healthy
0.8489,0.81402,1.26491,0.55064,0.7129,1.95843,1.00503,healthy
0.84753,0.81452,1.26479,0.55089,0.71415,1.95731,1.00478,healthy
0.8489,0.80977,1.26429,0.55039,0.71277,1.95343,1.00316,healthy
0.8474,0.8139,1.26416,0.55039,0.71252,1.95231,1.00278,healthy
0.84703,0.81177,1.26354,0.55052,0.71152,1.95631,1.00466,healthy
0.84778,0.81365,1.26341,0.55039,0.7104,1.95081,1.00416,healthy
0.8449,0.81115,1.26016,0.55089,0.7109,1.95631,1.00453,healthy
0.8494,0.8124,1.26104,0.55077,0.71177,1.95293,1.00278,healthy
0.8489,0.8114,1.26041,0.55039,0.71065,1.95593,1.00416,healthy
0.8489,0.81265,1.26304,0.55052,0.71202,1.95531,1.00253,healthy
0.84903,0.81302,1.26279,0.55014,0.71015,1.95493,1.00378,healthy
0.8489,0.8129,1.26204,0.55064,0.70952,1.95081,0.98791,healthy
0.84603,0.81052,1.25866,0.55014,0.70927,1.95393,1.00291,healthy
0.84678,0.8109,1.25904,0.55064,0.71015,1.95506,1.00278,healthy
0.84915,0.8124,1.26129,0.55077,0.7104,1.95006,1.00028,healthy
0.84778,0.81027,1.25804,0.55064,0.70852,1.95468,1.00203,healthy
0.8469,0.8104,1.25766,0.55039,0.7089,1.94768,1.00116,healthy
0.84778,0.81065,1.25779,0.55152,0.71027,1.95431,1.00078,healthy
0.85015,0.81165,1.25891,0.55052,0.70877,1.95506,1.00253,healthy
0.84728,0.81052,1.25754,0.55064,0.70952,1.95381,1.00278,healthy
0.84853,0.8119,1.25929,0.55064,0.70927,1.92993,1.00053,healthy
0.84703,0.80877,1.25766,0.55077,0.70952,1.94968,1.00016,healthy
0.84778,0.81052,1.25804,0.55039,0.70752,1.94968,1.00078,healthy
0.84653,0.81002,1.25616,0.55064,0.7089,1.94918,1.00028,healthy
0.84778,0.81152,1.25966,0.55052,0.70752,1.95006,0.99916,healthy
0.84928,0.8099,1.25691,0.55052,0.70702,1.95343,1.00141,healthy
0.8474,0.81152,1.25704,0.55077,0.70865,1.95331,1.00128,healthy
0.84978,0.81177,1.25666,0.55077,0.70827,1.95281,1.00141,healthy
0.84953,0.81077,1.25891,0.55052,0.70677,1.94281,0.99928,healthy
0.8484,0.81027,1.25716,0.55052,0.70765,1.95156,1.00003,healthy
0.84815,0.81002,1.25666,0.55039,0.70615,1.95293,1.00141,healthy
0.8484,0.81152,1.25904,0.55064,0.70827,1.94718,0.99891,healthy
0.84715,0.80927,1.25616,0.55064,0.70652,1.94981,1.00128,healthy
0.85003,0.8094,1.25729,0.55014,0.70577,1.94856,1.00116,healthy
0.84978,0.81077,1.25816,0.55064,0.70565,1.94718,0.99916,healthy
0.84865,0.81127,1.25841,0.55064,0.70752,1.94756,0.99903,healthy
0.8489,0.81102,1.25791,0.55064,0.70727,1.95031,1.00178,healthy
0.84628,0.8094,1.25479,0.55052,0.70552,1.95168,1.00091,healthy
